id,id orginal img,id after split,labeled by,id label studio (task),true labels,comments
1,1,3,Ricardo,1,"dead, dead_cut, noise",lot of noise
2,1,15,Ricardo,2,"dead, dead_cut, noise",
3,1,16,Ricardo,3,"dead, dead_cut, noise",
4,1,19,Ricardo,4,"dead, dead_cut, noise",
5,1,24,Ricardo ,5,"dead, dead_cut, noise",big noise for overlapping 
6,1,29,Ricardo,6,"dead, dead_cut, noise","lot of dead, hart to classify "
7,1,33,Ricardo,7,"dead, dead_cut, noise",
8,1,34,Ricardo,8,"dead, dead_cut, noise",
9,1,36,Ricardo,9,"dead, dead_cut, noise",just one dead_cut
10,1,39,Ricardo,10,"dead, noise",
11,1,40,Edward,task118,"dead, dead_cut, noise",
12,1,46,Edward,task119,"dead, dead_cut, noise",
13,1,48,Edward,task120,"dead, dead_cut, noise",
14,1,55,Edward,task121,"dead, dead_cut, noise",
15,1,56,Edward,task122,"dead, dead_cut, noise",
16,1,57,Edward,task123,"dead, dead_cut, noise",
17,1,58,Edward,task124,"dead, dead_cut, noise",
18,1,59,Edward,task125,"dead, dead_cut, noise",
19,1,63,Edward,task126,"dead, noise",
20,1,70,Edward,task127,"dead, dead_cut, noise",
21,1,73,Edward,task128,"dead, dead_cut, noise",
22,1,93,Edward,task129,"dead, dead_cut, noise",
23,1,98,Edward,task130,"dead, dead_cut, noise",
24,2,0,Edward,task62,"dead, dead_cut, noise",2 overlapped plants with 2 noice (noise)
25,2,2,Edward,task63,"dead, noise",
26,2,7,Edward,task64,"dead, dead_cut, noise",
27,2,10,Edward,task65,"dead, dead_cut, noise",
28,2,13,Edward,task66,"dead, dead_cut, noise",
29,2,22,Edward,task67,"dead, dead_cut, noise",
30,2,24,Edward,task68,"dead, dead_cut, noise",
31,2,26,Edward,task69,"dead, dead_cut, noise",
32,2,28,Edward,task70,"dead, dead_cut, noise",
33,2,37,Edward,task71,"dead, dead_cut",
34,2,42,Edward,task72,"dead, dead_cut, noise",
35,2,53,Edward,task73,"dead, dead_cut, noise",
36,2,67,Edward,task74,"dead, dead_cut, noise",
37,2,79,Edward,task59,"dead, dead_cut, noise",
38,2,86,Edward,task60,"dead, dead_cut, noise",
39,2,88,Edward,task61,"dead, dead_cut, noise",
